in s,C1 in V
2.36012240E-02,-2.80645E-01
2.36012288E-02,-2.65996E-01
2.36012336E-02,-2.61113E-01
2.36012384E-02,-2.61113E-01
2.36012432E-02,-2.70879E-01
2.36012480E-02,-2.51348E-01
2.36012528E-02,-2.65996E-01
2.36012576E-02,-2.80645E-01
2.36012624E-02,-2.75762E-01
2.36012672E-02,-2.80645E-01
2.36012720E-02,-2.80645E-01
2.36012768E-02,-2.80645E-01
2.36012816E-02,-2.65996E-01
2.36012864E-02,-2.75762E-01
2.36012912E-02,-2.65996E-01
2.36012960E-02,-3.00176E-01
2.36013008E-02,-2.75762E-01
2.36013056E-02,-2.70879E-01
2.36013104E-02,-2.80645E-01
2.36013152E-02,-2.85527E-01
2.36013200E-02,-2.65996E-01
2.36013248E-02,-2.85527E-01
2.36013296E-02,-2.90410E-01
2.36013344E-02,-3.00176E-01
2.36013392E-02,-2.85527E-01
2.36013440E-02,-2.85527E-01
2.36013488E-02,-3.00176E-01
2.36013536E-02,-2.90410E-01
2.36013584E-02,-3.00176E-01
2.36013632E-02,-2.85527E-01
2.36013680E-02,-2.90410E-01
2.36013728E-02,-2.95293E-01
2.36013776E-02,-2.85527E-01
2.36013824E-02,-2.90410E-01
2.36013872E-02,-2.90410E-01
2.36013920E-02,-2.90410E-01
2.36013968E-02,-2.85527E-01
2.36014016E-02,-2.85527E-01
2.36014064E-02,-3.05059E-01
2.36014112E-02,-3.14824E-01
2.36014160E-02,-3.00176E-01
2.36014208E-02,-3.09941E-01
2.36014256E-02,-3.00176E-01
2.36014304E-02,-3.09941E-01
2.36014352E-02,-2.90410E-01
2.36014400E-02,-3.00176E-01
2.36014448E-02,-3.05059E-01
2.36014496E-02,-2.90410E-01
2.36014544E-02,-3.00176E-01
2.36014592E-02,-2.90410E-01
2.36014640E-02,-3.00176E-01
2.36014688E-02,-3.14824E-01
2.36014736E-02,-3.05059E-01
2.36014784E-02,-3.09941E-01
2.36014832E-02,-3.14824E-01
2.36014880E-02,-3.24590E-01
2.36014928E-02,-3.00176E-01
2.36014976E-02,-3.14824E-01
2.36015024E-02,-3.05059E-01
2.36015072E-02,-3.14824E-01
2.36015120E-02,-3.14824E-01
2.36015168E-02,-3.09941E-01
2.36015216E-02,-3.14824E-01
2.36015264E-02,-3.24590E-01
2.36015312E-02,-3.05059E-01
2.36015360E-02,-3.19707E-01
2.36015408E-02,-3.09941E-01
2.36015456E-02,-3.09941E-01
