in s,C3 in V
2.37812360E-02,1.33301E+00
2.37812384E-02,1.36230E+00
2.37812408E-02,1.34277E+00
2.37812432E-02,1.34277E+00
2.37812456E-02,1.36230E+00
2.37812480E-02,1.31348E+00
2.37812504E-02,1.32324E+00
2.37812528E-02,1.31348E+00
2.37812552E-02,1.35254E+00
2.37812576E-02,1.35254E+00
2.37812600E-02,1.35254E+00
2.37812624E-02,1.35254E+00
2.37812648E-02,1.36230E+00
2.37812672E-02,1.36230E+00
2.37812696E-02,1.33301E+00
2.37812720E-02,1.36230E+00
2.37812744E-02,1.34277E+00
2.37812768E-02,1.32324E+00
2.37812792E-02,1.36230E+00
2.37812816E-02,1.33301E+00
2.37812840E-02,1.34277E+00
2.37812864E-02,1.39160E+00
2.37812888E-02,1.33301E+00
2.37812912E-02,1.36230E+00
2.37812936E-02,1.37207E+00
2.37812960E-02,1.37207E+00
2.37812984E-02,1.34277E+00
2.37813008E-02,1.35254E+00
2.37813032E-02,1.35254E+00
2.37813056E-02,1.34277E+00
2.37813080E-02,1.35254E+00
2.37813104E-02,1.35254E+00
2.37813128E-02,1.35254E+00
2.37813152E-02,1.33301E+00
2.37813176E-02,1.37207E+00
2.37813200E-02,1.34277E+00
2.37813224E-02,1.39160E+00
2.37813248E-02,1.34277E+00
2.37813272E-02,1.33301E+00
2.37813296E-02,1.36230E+00
2.37813320E-02,1.37207E+00
2.37813344E-02,1.37207E+00
2.37813368E-02,1.38184E+00
2.37813392E-02,1.39160E+00
2.37813416E-02,1.35254E+00
2.37813440E-02,1.36230E+00
2.37813464E-02,1.39160E+00
2.37813488E-02,1.39160E+00
2.37813512E-02,1.37207E+00
2.37813536E-02,1.34277E+00
2.37813560E-02,1.35254E+00
2.37813584E-02,1.38184E+00
2.37813608E-02,1.36230E+00
2.37813632E-02,1.38184E+00
2.37813656E-02,1.38184E+00
2.37813680E-02,1.38184E+00
2.37813704E-02,1.36230E+00
2.37813728E-02,1.33301E+00
2.37813752E-02,1.40137E+00
2.37813776E-02,1.36230E+00
2.37813800E-02,1.35254E+00
2.37813824E-02,1.38184E+00
2.37813848E-02,1.36230E+00
2.37813872E-02,1.36230E+00
2.37813896E-02,1.40137E+00
2.37813920E-02,1.37207E+00
2.37813944E-02,1.37207E+00
2.37813968E-02,1.37207E+00
2.37813992E-02,1.37207E+00
2.37814016E-02,1.37207E+00
2.37814040E-02,1.37207E+00
2.37814064E-02,1.37207E+00
2.37814088E-02,1.38184E+00
2.37814112E-02,1.35254E+00
2.37814136E-02,1.41113E+00
2.37814160E-02,1.39160E+00
2.37814184E-02,1.41113E+00
2.37814208E-02,1.39160E+00
2.37814232E-02,1.40137E+00
2.37814256E-02,1.39160E+00
2.37814280E-02,1.37207E+00
2.37814304E-02,1.37207E+00
2.37814328E-02,1.39160E+00
2.37814352E-02,1.37207E+00
2.37814376E-02,1.41113E+00
2.37814400E-02,1.39160E+00
2.37814424E-02,1.40137E+00
2.37814448E-02,1.36230E+00
2.37814472E-02,1.39160E+00
2.37814496E-02,1.42090E+00
2.37814520E-02,1.41113E+00
2.37814544E-02,1.41113E+00
2.37814568E-02,1.40137E+00
2.37814592E-02,1.37207E+00
2.37814616E-02,1.40137E+00
2.37814640E-02,1.42090E+00
2.37814664E-02,1.40137E+00
2.37814688E-02,1.39160E+00
2.37814712E-02,1.38184E+00
2.37814736E-02,1.42090E+00
2.37814760E-02,1.43066E+00
2.37814784E-02,1.36230E+00
2.37814808E-02,1.38184E+00
2.37814832E-02,1.42090E+00
2.37814856E-02,1.39160E+00
2.37814880E-02,1.38184E+00
2.37814904E-02,1.39160E+00
2.37814928E-02,1.40137E+00
2.37814952E-02,1.38184E+00
2.37814976E-02,1.42090E+00
2.37815000E-02,1.40137E+00
2.37815024E-02,1.41113E+00
2.37815048E-02,1.41113E+00
2.37815072E-02,1.42090E+00
2.37815096E-02,1.39160E+00
2.37815120E-02,1.43066E+00
2.37815144E-02,1.43066E+00
2.37815168E-02,1.42090E+00
2.37815192E-02,1.41113E+00
2.37815216E-02,1.39160E+00
2.37815240E-02,1.41113E+00
2.37815264E-02,1.40137E+00
2.37815288E-02,1.42090E+00
2.37815312E-02,1.42090E+00
2.37815336E-02,1.44043E+00
2.37815360E-02,1.39160E+00
2.37815384E-02,1.41113E+00
2.37815408E-02,1.41113E+00
2.37815432E-02,1.42090E+00
2.37815456E-02,1.43066E+00
2.37815480E-02,1.45996E+00
2.37815504E-02,1.39160E+00
2.37815528E-02,1.43066E+00
2.37815552E-02,1.40137E+00
2.37815576E-02,1.45020E+00
2.37815600E-02,1.39160E+00
2.37815624E-02,1.43066E+00
2.37815648E-02,1.40137E+00
2.37815672E-02,1.40137E+00
2.37815696E-02,1.42090E+00
2.37815720E-02,1.43066E+00
2.37815744E-02,1.41113E+00
2.37815768E-02,1.41113E+00
2.37815792E-02,1.43066E+00
2.37815816E-02,1.43066E+00
