EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
40.6398,0,0,0
25.0547,0,0,0
73.5376,0,0,0
281.945,0,0,0
95.5573,0,0,0
561.868,0,0,0
23.3869,0,0,0
28.3023,0,0,0
22.7661,0,0,0
73.0353,0,0,0
254.297,0,0,0
40.5202,0,0,0
37.949,0,0,0
24.4301,0,0,0
75.4599,0,0,0
115.548,0,0,0
2.34286,0,0,0
20.47,0,0,0
98.2361,0,0,0
12.7652,0,0,0
51.4649,0,0,0
39.8756,0,0,0
24.8146,0,0,0
35.0886,0,0,0
87.487,0,0,0
65.6339,0,0,0
64.9265,0,0,0
3.76945,0,0,0
17.0354,0,0,0
86.0735,0,0,0
24.5892,0,0,0
6.8914,0,0,0
257.21,0,0,0
67.8975,0,0,0
39.0752,0,0,0
39.8679,0,0,0
98.8602,0,0,0
47.4231,0,0,0
35.3255,0,0,0
73.8501,0,0,0
54.4529,0,0,0
84.5552,0,0,0
58.7238,0,0,0
68.7062,0,0,0
271.904,0,0,0
2.23785,0,0,0
92.1738,0,0,0
10.4825,0,0,0
41.4239,0,0,0
154.969,0,0,0
73.0005,0,0,0
90.3338,0,0,0
134.093,0,0,0
267.495,0,0,0
39.2005,0,0,0
6.36119,0,0,0
75.2396,0,0,0
17.534,0,0,0
52.0756,0,0,0
579.337,0,0,0
81.011,0,0,0
92.7609,0,0,0
141.109,0,0,0
65.5799,0,0,0
53.6186,0,0,0
150.96,0,0,0
119.748,0,0,0
55.2586,0,0,0
41.2309,0,0,0
71.4331,0,0,0
240.004,0,0,0
112.44,0,0,0
81.3363,0,0,0
32.5312,0,0,0
72.2128,0,0,0
107.63,0,0,0
10.3075,0,0,0
61.8187,0,0,0
264.873,0,0,0
2.70656,0,0,0
1.51907,0,0,0
123.711,0,0,0
104.083,0,0,0
40.601,0,0,0
70.3025,0,0,0
79.9779,0,0,0
221.544,0,0,0
76.548,0,0,0
71.2471,0,0,0
35.7986,0,0,0
50.8514,0,0,0
243.795,0,0,0
117.004,0,0,0
151.587,0,0,0
25.9132,0,0,0
240.703,0,0,0
81.2375,0,0,0
61.1655,0,0,0
8.77065,0,0,0
89.5322,0,0,0
77.1378,0,0,0
78.425,0,0,0
87.3912,0,0,0
81.8571,0,0,0
58.6633,0,0,0
68.1707,0,0,0
50.6814,0,0,0
415.196,0,0,0
44.7578,0,0,0
115.906,0,0,0
129.957,0,0,0
95.5362,0,0,0
69.6099,0,0,0
429.784,0,0,0
46.9061,0,0,0
25.7157,0,0,0
487.232,0,0,0
412.372,0,0,0
21.7939,0,0,0
78.3651,0,0,0
100.324,0,0,0
31.8404,0,0,0
1.9949,0,0,0
66.7425,0,0,0
75.6009,0,0,0
20.419,0,0,0
66.3437,0,0,0
50.092,0,0,0
95.8148,0,0,0
39.5875,0,0,0
550.597,0,0,0
112.035,0,0,0
3.8975,0,0,0
221.81,0,0,0
33.6517,0,0,0
16.3398,0,0,0
88.5457,0,0,0
12.2875,0,0,0
84.8956,0,0,0
662.481,0,0,0
29.5947,0,0,0
18.1871,0,0,0
86.9682,0,0,0
150.817,0,0,0
14.3673,0,0,0
492.914,0,0,0
152.798,0,0,0
414.604,0,0,0
24.0707,0,0,0
164.35,0,0,0
56.187,0,0,0
200.025,0,0,0
185.935,0,0,0
163.784,0,0,0
102.959,0,0,0
112.578,0,0,0
88.6455,0,0,0
138.028,0,0,0
93.6576,0,0,0
32.8376,0,0,0
125.811,0,0,0
84.5542,0,0,0
126.413,0,0,0
29.2508,0,0,0
158.389,0,0,0
46.3593,0,0,0
41.9792,0,0,0
78.7988,0,0,0
45.3315,0,0,0
337.394,0,0,0
12.0664,0,0,0
157.602,0,0,0
39.3442,0,0,0
260.112,0,0,0
15.8062,0,0,0
123.326,0,0,0
372.694,0,0,0
15.5284,0,0,0
216.01,0,0,0
146.736,0,0,0
166.46,0,0,0
53.8341,0,0,0
78.4076,0,0,0
78.8047,0,0,0
45.008,0,0,0
54.2301,0,0,0
176.446,0,0,0
192.773,0,0,0
6.84655,0,0,0
49.6212,0,0,0
50.3824,0,0,0
223.608,0,0,0
62.7255,0,0,0
48.4361,0,0,0
79.2894,0,0,0
125.248,0,0,0
77.9818,0,0,0
100.712,0,0,0
91.8989,0,0,0
106.261,0,0,0
4.80156,0,0,0
66.0686,0,0,0
38.6069,0,0,0
64.0891,0,0,0
61.3468,0,0,0
105.916,0,0,0
79.516,0,0,0
149.685,0,0,0
165.036,0,0,0
123.959,0,0,0
23.9422,0,0,0
37.3929,0,0,0
49.5441,0,0,0
202.232,0,0,0
107.918,0,0,0
20.7083,0,0,0
2.54752,0,0,0
17.266,0,0,0
34.5139,0,0,0
53.307,0,0,0
196.288,0,0,0
457.031,0,0,0
12.2988,0,0,0
23.6042,0,0,0
