in s,C3 in V
2.99969856E-02,-4.88281E-03
2.99969952E-02,-4.88281E-03
2.99970048E-02,-1.46484E-02
2.99970144E-02,1.46484E-02
2.99970240E-02,1.46484E-02
2.99970336E-02,2.44141E-02
2.99970432E-02,1.46484E-02
2.99970528E-02,1.46484E-02
2.99970624E-02,1.46484E-02
2.99970720E-02,1.46484E-02
2.99970816E-02,-4.88281E-03
2.99970912E-02,-4.88281E-03
2.99971008E-02,1.46484E-02
2.99971104E-02,-3.41797E-02
2.99971200E-02,1.46484E-02
2.99971296E-02,3.41797E-02
2.99971392E-02,4.88281E-03
2.99971488E-02,-4.88281E-03
2.99971584E-02,-4.88281E-03
2.99971680E-02,4.88281E-03
2.99971776E-02,-6.34766E-02
2.99971872E-02,1.46484E-02
2.99971968E-02,-1.46484E-02
2.99972064E-02,-4.88281E-03
2.99972160E-02,-4.39453E-02
2.99972256E-02,-3.41797E-02
2.99972352E-02,-3.41797E-02
2.99972448E-02,-4.88281E-03
2.99972544E-02,1.46484E-02
2.99972640E-02,4.88281E-03
2.99972736E-02,-4.88281E-03
2.99972832E-02,4.88281E-03
2.99972928E-02,2.44141E-02
2.99973024E-02,-1.46484E-02
2.99973120E-02,1.46484E-02
2.99973216E-02,-4.88281E-03
2.99973312E-02,1.46484E-02
2.99973408E-02,4.88281E-03
2.99973504E-02,-4.88281E-03
2.99973600E-02,3.41797E-02
2.99973696E-02,1.46484E-02
2.99973792E-02,4.88281E-03
2.99973888E-02,-4.88281E-03
2.99973984E-02,-4.88281E-03
2.99974080E-02,-1.46484E-02
2.99974176E-02,-4.88281E-03
2.99974272E-02,-4.88281E-03
2.99974368E-02,4.88281E-03
2.99974464E-02,-4.88281E-03
2.99974560E-02,-4.88281E-03
2.99974656E-02,-2.44141E-02
2.99974752E-02,-4.88281E-03
2.99974848E-02,-1.46484E-02
2.99974944E-02,4.88281E-03
2.99975040E-02,-2.44141E-02
2.99975136E-02,-4.88281E-03
2.99975232E-02,-3.41797E-02
2.99975328E-02,-4.88281E-03
2.99975424E-02,-4.88281E-03
2.99975520E-02,-4.39453E-02
2.99975616E-02,1.46484E-02
2.99975712E-02,-1.46484E-02
2.99975808E-02,4.88281E-03
2.99975904E-02,2.44141E-02
2.99976000E-02,-4.88281E-03
2.99976096E-02,-4.88281E-03
2.99976192E-02,1.46484E-02
2.99976288E-02,-4.88281E-03
2.99976384E-02,-1.46484E-02
2.99976480E-02,-4.88281E-03
2.99976576E-02,1.46484E-02
2.99976672E-02,-4.88281E-03
2.99976768E-02,-4.88281E-03
2.99976864E-02,1.46484E-02
2.99976960E-02,-4.88281E-03
2.99977056E-02,4.88281E-03
2.99977152E-02,-1.46484E-02
2.99977248E-02,-4.88281E-03
2.99977344E-02,-1.46484E-02
2.99977440E-02,2.44141E-02
2.99977536E-02,-2.44141E-02
2.99977632E-02,2.44141E-02
2.99977728E-02,4.88281E-03
2.99977824E-02,-4.88281E-03
2.99977920E-02,-1.46484E-02
2.99978016E-02,4.88281E-03
2.99978112E-02,1.46484E-02
2.99978208E-02,1.46484E-02
2.99978304E-02,-1.46484E-02
2.99978400E-02,-4.88281E-03
2.99978496E-02,-2.44141E-02
2.99978592E-02,-2.44141E-02
2.99978688E-02,-1.46484E-02
2.99978784E-02,4.88281E-03
2.99978880E-02,-4.88281E-03
2.99978976E-02,1.46484E-02
2.99979072E-02,-3.41797E-02
2.99979168E-02,4.88281E-03
2.99979264E-02,-4.88281E-03
2.99979360E-02,2.44141E-02
2.99979456E-02,-1.46484E-02
2.99979552E-02,4.88281E-03
2.99979648E-02,-4.88281E-03
2.99979744E-02,-4.88281E-03
2.99979840E-02,1.46484E-02
2.99979936E-02,-4.88281E-03
2.99980032E-02,-4.88281E-03
2.99980128E-02,-4.88281E-03
2.99980224E-02,-2.44141E-02
